Year,Type,Segment, Past revenue (USD) ,,,,,,,
2026,High end forecast,Printer sales," $7,491,566,448 ",,,,,,,
2027,High end forecast,Printer sales," $8,403,832,931 ",,,,,,,
2028,High end forecast,Printer sales," $9,427,188,350 ",,,,,,,
2029,High end forecast,Printer sales," $10,575,160,276 ",,,,,,,
2030,High end forecast,Printer sales," $11,862,923,569 ",,,,,,,
2031,High end forecast,Printer sales," $13,307,500,967 ",,,,,,,
2032,High end forecast,Printer sales," $14,927,988,110 ",,,,,,,
2033,High end forecast,Printer sales," $16,745,805,961 ",,,,,,,
2034,High end forecast,Printer sales," $18,784,983,965 ",,,,,,,
2014,Past revenue,Printing services," $1,306,000,000 ",,,,,,,
2015,Past revenue,Printing services," $1,714,000,000 ",,,,,,,
2016,Past revenue,Printing services," $2,173,000,000 ",,,,,,,
2017,Past revenue,Printing services," $2,955,000,000 ",,,,,,,
2018,Past revenue,Printing services," $4,099,000,000 ",,,,,,,
2019,Past revenue,Printing services," $4,920,000,000 ",,,,,,,
2020,Past revenue,Printing services," $5,270,000,000 ",,,,,,,
2021,Past revenue,Printing services," $6,235,000,000 ",,,,,,,
2022,Past revenue,Printing services," $7,508,000,000 ",,,,,,,
2023,Past revenue,Printing services," $9,107,000,000 ",,,,,,,
2024,Past revenue,Printing services," $10,163,412,000 ",,,,,,,
2025,Low end forecast,Printing services," $11,763,133,049 ",,,,,,,
2026,Low end forecast,Printing services," $13,614,650,191 ",,,,,,,
2027,Low end forecast,Printing services," $15,757,596,131 ",,,,,,,
2028,Low end forecast,Printing services," $18,237,841,762 ",,,,,,,
2029,Low end forecast,Printing services," $21,108,478,055 ",,,,,,,
2030,Low end forecast,Printing services," $24,430,952,501 ",,,,,,,
2031,Low end forecast,Printing services," $28,276,384,424 ",,,,,,,
2032,Low end forecast,Printing services," $32,727,087,333 ",,,,,,,
2033,Low end forecast,Printing services," $37,878,330,879 ",,,,,,,
2034,Low end forecast,Printing services," $43,840,380,159 ",,,,,,,
2025,Average forecast,Printing services," $12,139,179,293 ",,,,,,,
2026,Average forecast,Printing services," $14,512,949,458 ",,,,,,,
2027,Average forecast,Printing services," $17,367,503,906 ",,,,,,,
2028,Average forecast,Printing services," $20,803,313,253 ",,,,,,,
2029,Average forecast,Printing services," $24,942,399,795 ",,,,,,,
2030,Average forecast,Printing services," $29,933,057,419 ",,,,,,,
2031,Average forecast,Printing services," $35,955,621,663 ",,,,,,,
2032,Average forecast,Printing services," $43,229,526,292 ",,,,,,,
2033,Average forecast,Printing services," $52,021,936,445 ",,,,,,,
2034,Average forecast,Printing services," $62,658,314,296 ",,,,,,,
2025,High end forecast,Printing services," $12,515,225,537 ",,,,,,,
2026,High end forecast,Printing services," $15,411,248,726 ",,,,,,,
2027,High end forecast,Printing services," $18,977,411,681 ",,,,,,,
2028,High end forecast,Printing services," $23,368,784,744 ",,,,,,,
2029,High end forecast,Printing services," $28,776,321,534 ",,,,,,,
2030,High end forecast,Printing services," $35,435,162,337 ",,,,,,,
2031,High end forecast,Printing services," $43,634,858,902 ",,,,,,,
2032,High end forecast,Printing services," $53,731,965,252 ",,,,,,,
2033,High end forecast,Printing services," $66,165,542,011 ",,,,,,,
2034,High end forecast,Printing services," $81,476,248,432 ",,,,,,,
