Year,Month,Company name,Country,Amount (in millions USD),Funding round,Lead investor,,,
2019,Sep,Addifab,Denmark, , ,Diamond Edge Ventures,,,
2020,Nov,Create it,Denmark,3.7,Not specified,Investo Capital,,,
2021,Mar,Addifab,Denmark,6.3,Series A,West Hill Capital,,,
2022,May,COBOD,Denmark, ,Not specified,GE Renewable Energy,,,
2022,Oct,Hyperion Robotics,Denmark,3.3,Not specified,Lifeline Ventures,,,
2021,Jun,Brinter,Finland,1.3,Seed,Innovestor,,,
2019,Jun,XtreeE,France, , ,Shibumi,,,
2022,Jan,Adaxis,France,1.1,Pre seed,EIT Manufacturing,,,
2022,Jan,Healshape,France,7.4,Series A,Pulsalys SAS,,,
2022,Jan,Adaxis,France,1.1,Pre seed,EIT Manufacturing,,,
2022,Jan,Healshape,France,7.4,Series A,Pulsalys SAS,,,
2022,Jun,Latitude,France,10.9,Series A,Crédit Mutuel Innovation,,,
2022,Oct,Lattice Medical,France,8.7,Series B,"Einovam, Gestion",,,
2023,May,Lynxter,France,4.4,Series A,IRDI Sorldec Gestlon,,,
2019,Jan,Mecuris,Germany,3.6,Series A,Vesalius Biocapital,,,
2019,Jul,Umeleon,Germany,0.1,Incubator,"Stanley B&D, Techstars",,,
2019,Jul,3yourmind,Germany,1.3, ,Investment Bank of Berlin,,,
2020,Jan,Mercuris,Germany,3.6,Series A,Bayern capital,,,
2020,Jan,Simscale,Germany,27,Series C,Insight Partners,,,
2020,Jan,Simscale,Germany,32.5,Series C,Insight Partners,,,
2020,May,Kumovis,Germany,4.3,Series A,,,,
2020,Jun,Lilium,Germany,35,Not specified,Strategic investors,,,
2020,Jul,Headmade Materials,Germany,2.9,Not specified,Industrial Technologies Fund,,,
2020,Aug,Dyemansion,Germany,14,Series B,Nordic Alpha Partners,,,
2020,Sep,3Yourmind,Germany,5.5,Series A,ENV,,,
2020,Oct,Additive Drives,Germany,1.5,Seed,AM Ventures,,,
2021,Feb,Hyperganic,Germany,7.8,Not specified,,,,
2021,Feb,Hyperganic,Germany,7.8,Not specified,Not specified,,,
2021,Apr,Additive Scale,Germany,1.1,Seed,Not specified,,,
2021,Apr,3YOURMIND,Germany,6.9,Series A+,"LBBW VC, Verve Ventures",,,
2021,May,Xolo,Germany, ,Seed,Not specified,,,
2021,Jul,J.A.M.E.S.,Germany,6,Joint Venture,"Nano Dimension, Hensoldt",,,
2022,Jan,Headmade Materials,Germany,6.3,Not specified,EIC Accelerator,,,
2022,Feb,DyeMansion,Germany,16.4,Not specified,European Innovation Council,,,
2022,Feb,Headmade Materials,Germany,2.7,Series A,AM Ventures,,,
2022,Jan,Headmade Materials,Germany,6.3,Not specified,EIC Accelerator,,,
2022,Feb,DyeMansion,Germany,16.4,Not specified,"EIC, European Investment Bank",,,
2022,Oct,Trinckle,Germany,3.3,Not specified,HZG Ventures,,,
2022,Nov,Synera,Germany,15.8,Series A,Spark Capital,,,
2023,Feb,Xolo,Germany,8.7,Series A,Not specified,,,
2023,Feb,Gefertec,Germany,,Acquisition,Berlin.Industrlal.Grou,,,
2023,Feb,Xolo,Germany,8.7,Series A,,,,
2023,Apr,Quantica,Germany,15.3,Series A,by Founders,,,
2023,May,3D Spark,Germany,1.3,Seed,Fraunhofer Technology Transfer Fund,,,
2023,Jun,Replique,Germany,,Seed,STS Ventures,,,
2023,Jul,Q.BIG 3D,Germany,2.2,Series A,HZG Group,,,
2023,Jul,AIM3D,Germany,,,HZG Group,,,
2023,Dec,Vectoflow,Germany,4.4,Series A,,,,
2021,Aug,Toothsi,India,20,Series B,Eight Roads Ventures,,,
2022,Sep,Skyroot,India,51,Series B,GIC,,,
2023,Jan,ThinkMetal,India,0.2,Pre seed,100X.VC,,,
2023,Jan,ThinkMetal,India,0.2,Pre seed,100X.VC,,,
2023,Sep,ThinkMetal,India,0.3,Pre Seed,,,,
2019,Jan,Wazp,Ireland,2, ,John Maloney,,,
2019,Aug,Nanofabrica,Israel, ,Seed,i3,,,
2019,Sep,Redefine Meat,Israel,6, ,CPT Capital,,,
2019,Sep,Largix,Israel,1.6,Series A,Plasson,,,
2019,Sep,Printsyst,Israel,£0.6, ,Innovate UK,,,
2019,Oct,Castor,Israel, , ,Evonik Venture Capital,,,
2019,Nov,IOTech,Israel, ,Series A,Not published,,,
2020,Apr,Polymertal,Israel,1.5,Seed,Not specified,,,
2020,May,Nanofabrica,Israel,4,Seed,M12,,,
2020,Jun,Largix,Israel,2.5,Series A,"Lego, Stanley Black & Decker",,,
2020,Jul,SavorEat,Israel,3,Series B,Mor and Meitav Dash,,,
2020,Aug,XJet,Israel,16,Not specified,Existing investors,,,
2021,Feb,Redefine Meat,Israel,29,Series A,Foundation Capital,,,
2021,Feb,Cubee 3D,Israel, ,Pre seed,Opendoor Venture Capital,,,
2021,Feb,Redefine Meat,Israel,29,Series A,"Happiness Capital, Hanaco Ventures",,,
2021,Mar,Jiga,Israel,0.1,Seed,Y Combinator,,,
2021,Jun,ioTech,Israel, ,Series A,Henkel Adhesive Technologies,,,
2021,Aug,Castor,Israel,3.5,Seed,Xerox,,,
2021,Dec,XJet,Israel, ,Not specified,Not specified,,,
2022,Jan,Redefine Meat,Israel,135,Not specified,Hanaco Ventures,,,
2022,Jan,Redefine Meat,Israel,135,Not specified,Hanaco Ventures,,,
2022,Mar,Plantish,Israel,12.5,Seed,State Of Mind Ventures,,,
2023,Jan,Steakholder Foods,Israel,1,Grant,SIIRDF,,,
2023,Feb,Largix,Israel,1,Not specified,OJSC,,,
2023,Jan,Steakholder Foods,Israel,1,Grant,Singapore Israel Industrial R&D Foundation,,,
2023,Jan,Steakholder Foods,Israel,6.5,Post IPO Equity,Publlc,,,
2023,Feb,Largix,Israel,1,,OJSC,,,
2023,May,Castor Technologles,Israel,,Series A,Asahl Kasel,,,
2020,Jan,Rejoint,Italy,1.6,Not specified,Not specified,,,
2021,Sep,Carcol,Italy,3.8,Not specified,Primo Ventures,,,
2023,Feb,Roboze,Italy,,Seed,Eim Capultal,,,
2023,Mar,Caracol,Italy,11.6,Series A,CDP Venture Capltal,,,
2024,Feb,3DNextech,Italy,1.6,Seed,Eureka! Fund,,,
2021,Apr,ExtraBold,Japan, ,Not specified,Real Tech Holdings,,,
2021,Apr,3D Printing Corp,Japan, ,Not specified,Taiyo Nippon Sanso,,,
2021,Apr,SK Fine,Japan, ,Not specified,Osaka University Venture Capital,,,
2022,Jul,Instalimb,Japan,3.3,Series A,Not specified,,,
2022,Oct,Sun Metalon,Japan,5.6,Pre series,Globis Capital Partners,,,
2021,Jan,Breezm,Korea,3,Series A,Kakao Ventures,,,
2021,Jan,Breezm,Korea,3,Series A,Kakao Ventures,,,
2019,Feb,Additive Industries,Netherlands,10,Loan,BOM Brabant Ventures,,,
2019,Mar,Bond High Perf. 3D,Netherlands, , ,Victrex,,,
2019,Mar,3D Hubs,Netherlands,18,Series C,Endeit Capital,,,
2019,Dec,3D Hubs,Netherlands, , ,Future Shape,,,
2020,May,Additive Industries,Netherlands,16.9,Not specified,Highlands Beheer Stanley Ventures Mimaki,,,
2021,Apr,MX3D,Netherlands,2.5,Not specified,DOEN Participaties,,,
2023,Jul,FononTech,Netherlands,2.5,,TTT Smart Industrles Fund,,,
2021,Nov,Foundry Lab,New Zealand,8,Series A,Blackbird Ventures,,,
2020,Mar,Sinterit,Poland,10.0 PLN, ,EEC Magenta,,,
2020,Apr,Zmorph,Poland,1.3,Not specified,Warsaw Equity Group,,,
2021,Mar,3D Bistro,Poland, ,Seed,VCLink,,,
2023,Dec,Orbltal Matter,Poland,1.2,Pre Seed,Sunfish Partners,,,
2022,Feb,Stereotech,Russia, ,Not specified,VEB Ventures,,,
2021,Nov,Immensa,Saudi Arabia,7,Series A,Energy Capital Group,,,
2019,Oct,Structo,Singapore, ,Series D,EBDI,,,
2020,Jun,3D Infra,Singapore,1,Pre seed,M Venture Partners Baillie Gifford Plasson,,,
2022,Aug,Craft Health,Singapore,1.1,PreSeries A,Mistletoe,,,
2023,Feb,Breezm,South Korea,4.1,Series A,Seoul Techno Holdings,,,
2023,Apr,Seeann Solution,South Korea,,,CG Blo,,,
2023,Aug,MADDE,South Korea,2,Seed,DSC Investment,,,
2019,Mar,BCN3D,Spain,3,Seed,Accurafy4,,,
2019,Jul,Triditive,Spain,0.1,Incubator,"Stanley B&D, Techstars",,,
2019,Sep,Novameat,Spain, , ,New Crop Capital,,,
2020,May,Triditive,Spain, ,Not specified,Renolit,,,
2022,Jun,Cocuus,Spain,2.7,PreSeries A,Big Idea Ventures,,,
2022,Jun,Triditive,Spain,5.5,Not specified,Not specified,,,
2019,Jan,Cellink,Sweden,1,Govt grant,EU,,,
2019,Sep,Freemelt,Sweden,15.0 SEK, ,Industrifonden,,,
2020,Mar,Cellink,Sweden,0.2,Grant,Vinnova,,,
2020,Sep,Anatomic Studios,Sweden,0.5,Not specified,Wellstreet Ventures Fund,,,
2021,Mar,Wematter,Sweden,4.4,Not specified,Private investors,,,
2023,Jan,Mycorena/ Revo Foods,Sweden,1.6,Grant,"Vinnova, Eurostars",,,
2023,Jan,Mycorena/ Revo Foods,Sweden,1.6,Grant,"Vinnova, Eurostars",,,
2019,Aug,Spectroplast,Switzerland,1.4,Seed,AM Ventures,,,
2019,Aug,Swissto12,Switzerland,18.1 CHF,Series B,Swisscanto Invest,,,
2020,Feb,9T Labs,Switzerland,4.3,Seed,Wingman Ventures,,,
2020,Feb,9T Labs,Switzerland,4.3,Seed,Not specified,,,
2020,Oct,Readily3D,Switzerland,0.2,Seed,Not specified,,,
2022,Feb,Scrona,Switzerland,9.6,Series A,AM Ventures,,,
2022,Feb,9T Labs,Switzerland,17,Series A,"Stratasys, Solvay",,,
2022,Feb,9T Labs,Switzerland,17,Series A,"Stratasys, Solvay",,,
2023,Apr,a metal,Switzerland,,Pre Seed,,,,
2023,Aug,Saekl Robotlcs,Switzerland,2.3,,Wingman Ventures,,,
2020,Mar,Phrozen,Taiwan,0.5,Kickstarter,Not specified,,,
2023,Feb,TraBTech,Turkey,6,Not specified,Not specified,,,
2023,Feb,TraBtech,Turkey,6,,,,,
2023,Sep,Zaxe,Turkey,1.9,,KVK,,,
2019,Jan,Fortify,U.S.,2.5,Seed,Neotribe Vtrs. and Prelude Vtrs.,,,
2019,Jan,Desktop Metal,U.S.,160,,Koch Disruptive Technologies,,,
2019,Jan,Essentium,U.S.,22,,BASF Ventures,,,
2019,Feb,Adaptive3D,U.S.,,Series A,DSM Venturing and Applied Vtrs.,,,
2019,Feb,Rize,U.S.,15, ,"Innospark Vtrs., Dassault Sys.",,,
2019,Feb,Postprocess Tech.,U.S.,14.2,Debt, ,,,
2019,Mar,Markforged,U.S.,82,Series D,Summit Partners,,,
2019,Apr,Dyndrite,U.S.,10,Series A,Gradient Ventures,,,
2019,Apr,Fast Radius,U.S.,48,Series B,UPS,,,
2019,Apr,Metallum 3D,U.S., , ,CIT Gap Funds,,,
2019,May,Xometry,U.S.,50, ,Greenspring Associates,,,
2019,May,Astroprint,U.S.,1, ,Stanley Ventures,,,
2019,May,Impossible Objects,U.S.,4.1,Series B,OCA Ventures,,,
2019,Jun,Elixirgen Scientific,U.S., , ,Ricoh,,,
2019,Jun,Carbon,U.S.,260,Growth,Madrone Capital Partners,,,
2019,Jul,Xometry,U.S.,5,Series D,Robert Bosch,,,
2019,Jul,Accelerate3D,U.S.,0.1,Incubator,"Stanley B&D, Techstars",,,
2019,Jul,Fortify,U.S.,10,Series A,Accel,,,
2019,Jul,Physna,U.S.,6.9,Series A,Drive Capital,,,
2019,Aug,nTopology,U.S.,20, ,Canaan,,,
2019,Aug,Morf3D,U.S., ,Series B,Boeing Horizon X,,,
2019,Oct,Relativity Space,U.S.,140,Series C,Bond,,,
2019,Oct,Voxel8,U.S., ,Series B,DSM Venturing,,,
2019,Oct,Link 3D,U.S.,7, ,AI Capital,,,
2019,Nov,Allevi,U.S.,1, ,Provco Group,,,
2019,Nov,Inkbit,U.S.,12,Series B,Stratasys,,,
2019,Nov,ELISE,U.S., ,,BMW iVentures,,,
2019,Nov,Postprocess Tech.,U.S.,20,Series B,Grand Oaks Capital,,,
2019,Dec,Authentise,U.S.,£0.1,Accelerator,ATI Boeing Accelerator,,,
2020,Jan,Elementum 3D,U.S., ,Series A,Sumitomo Corp of America,,,
2020,Jan,Elementum 3D,U.S., ,Series A,Sumitomo Corp of America,,,
2020,Apr,Arris Composites,U.S.,48.5,Series B,Taiwania Capital,,,
2020,Apr,Velo3D,U.S.,28,Series D,Piva and TNSC,,,
2020,May,Azul3D,U.S.,8,Seed,Not specified,,,
2020,May,Mixed Dimensions,U.S., ,Not specified,,,,
2020,Jun,Velo3D,U.S.,12,Series E,,,,
2020,Jun,Evolve Additive,U.S.,19,Not stated,,,,
2020,Jul,Continuous Composites,U.S., ,Not specified,Arkema,,,
2020,Aug,Sintavia,U.S., ,Not specified,Sumitomo Corp of America,,,
2020,Aug,Arevo,U.S.,25,Series B,"Defy Partners, GGV Capital",,,
2020,Aug,ICON Build,U.S.,35,Series A,Moderne Ventures,,,
2020,Aug,Azul3D,U.S.,12.5,Seed,Private angel investors,,,
2020,Aug,Kimura Foundry America,U.S., ,Not specified,Sumitomo,,,
2020,Sep,Lightforce Orthodontics,U.S.,14,Series B,Tyche Partners,,,
2020,Sep,Xometry,U.S.,75,Series E,T. Rowe Price,,,
2020,Sep,nTolology,U.S.,40,Series C,Insight Partners,,,
2020,Sep,Ditto,U.S., ,Not specified,Materialise,,,
2020,Oct,LM Industries,U.S.,15,Not specified,Mirai Creation Fund II,,,
2020,Oct,3Diligent,U.S.,4.2,Not specified,Not specified,,,
2020,Oct,Adaptive3D,U.S.,5.1,Series B,Arkema,,,
2020,Nov,Real Dimension Inx,U.S.,3.2,Seed,KdT Ventures,,,
2020,Nov,Relativity Space,U.S.,500,Series D,Tiger Global Management,,,
2020,Nov,Trio Labs,U.S.,0.6,Debt,Not specified,,,
2020,Dec,PrinterPrezz,U.S.,16,Series A,DOV Singularity Fund,,,
2020,Dec,Nuburu,U.S.,20,Series B,Anzu Partners,,,
2020,Dec,Branch Technology,U.S.,11,Not specified,Equipment Share,,,
2020,Dec,Arris Composites,U.S., ,Not specified,Robert Bosch Venture Capital,,,
2021,Jan,3DEO,U.S.,14,Not specified,Alpha Edison,,,
2021,Feb,Uniformity Labs,U.S.,38.4,Series B,"IP Group, Orion Resource Partners",,,
2021,Feb,Mighty Buildings,U.S.,40,Series B,"Happiness Capital, Hanaco Vent. Not specified",,,
2021,Feb,Fictiv,U.S.,35,Series D,,,,
2021,Feb,Mantle,U.S.,13,Not specified,,,,
2021,Jan,3DEO,U.S.,14,Not specified,Alpha Edison,,,
2021,Feb,Uniformity Labs,U.S.,38.4,Series B,"IP group, Orion Resource Partners",,,
2021,Feb,Mighty Buildings,U.S.,40,Not specified,"Khosla Ventures, Zeno Ventures",,,
2021,Feb,Fictiv,U.S.,35,Series D,"40 North Ventures, Honeywell",,,
2021,Feb,Mantle,U.S.,13,Not specified,Foundation Capital,,,
2021,Mar,Continuous Composites,U.S., ,Not specified,Saint Gobain   NOVA,,,
2021,Mar,Fortify,U.S.,20,Series B,Cota Capital,,,
2021,Mar,DDM Systems,U.S., ,Series A,10X Capital,,,
2021,Mar,Amplify Additive,U.S.,1.1,Series A,Not specified,,,
2021,Apr,Trio Labs,U.S.,3.8,Not specified,Not specified,,,
2021,Apr,Allegro 3D,U.S.,1,Grant,NSF,,,
2021,May,Remedy Health,U.S.,11,Series A,ADM Ventures,,,
2021,May,Nexa3D,U.S.,55,Not specified,"OurCrowd, Saudi Aramco Energy",,,
2021,May,Formlabs,U.S.,150,Series E,SoftBank Vision Fund 2,,,
2021,May,Restor3D,U.S.,13,Series B,Not specified,,,
2021,Jun,Seurat,U.S.,41,Series B,Technology Impact Fund,,,
2021,Jul,Mighty Buildings,U.S.,22,Series B extension,"ArcTern Ventures, Core Innovation",,,
2021,Jul,Fabric8Labs,U.S.,19.3,Series A,Intel Capital,,,
2021,Jul,Inkbit,U.S.,30,Series B,Phoenix Venture Partners,,,
2021,Jul,Continous Composites,U.S.,17,Series A,B. Riley Venture Capital,,,
2021,Aug,Arevo,U.S.,25,Series B,Khosla Ventures,,,
2021,Aug,ICON,U.S.,207,Series B,Norwest Venture Partners,,,
2021,Aug,Holo,U.S., ,Not specified,Lam Capital,,,
2021,Sep,Fortius,U.S.,1.4,Pre seed,Not specified,,,
2021,Sep,Evolve,U.S.,30,Growth,3D Ventures,,,
2021,Sep,Mantle,U.S.,25,Series B,Fine Structure Ventures,,,
2021,Sep,General Lattice,U.S.,1,Pre seed,AP Ventures,,,
2021,Oct,Danae,U.S., ,Not specified,Conscious Venture Partners,,,
2021,Nov,Lightforce Orthodontics,U.S.,50,Series C,Kleiner Perkins,,,
2021,Nov,Biosapien,U.S.,1.8,Seed,SOSV,,,
2021,Nov,Arris,U.S.,88.5,Series C,XN,,,
2021,Nov,Chromatic 3D Materials,U.S.,5,Not specified,Embedded Ventures,,,
2021,Nov,nTopology,U.S.,65,Series D,Tiger Global Management,,,
2021,Dec,Prellis Biologics,U.S.,14.5,Series B,Not specified,,,
2021,Dec,Rapid Liquid Print,U.S., ,Seed,BMW iVentures,,,
2022,Jan,Seurat,U.S.,21,Series B extension,Xerox Ventures,,,
2022,Feb,Elementun 3D,U.S.,22,Series B,Not specified,,,
2022,Feb,ICON,U.S.,185,Series B extension,Tiger Global Management,,,
2022,Jan,Seurat,U.S.,21,Series B,Xerox Ventures,,,
2022,Feb,Elementum 3D,U.S.,22,Series B,Not specified,,,
2022,Mar,Black Buffalo 3D,U.S.,3.5,Seed,Not specified,,,
2022,Mar,Diamond Age,U.S.,50,Series A,Prime Movers Lab,,,
2022,Apr,Andiamo,U.S.,0.5,Seed,ERA,,,
2022,Apr,Restor3D,U.S.,23,Not specified,Not specified,,,
2022,Apr,Lazarus 3D,U.S.,6,Seed,Ecliptic Capital,,,
2022,Apr,Divergent,U.S.,160,Series C,Not specified,,,
2022,Apr,X Bow Systems,U.S.,27,Series A,Crosslink Capital,,,
2022,May,Mooji Meats,U.S.,3,Seed,Y Combinator,,,
2022,May,Fictiv,U.S.,100,Series E,Activate Capital,,,
2022,May,MakerBot & Ultimaker,U.S.,62.4,Not specified,"NPM Capital, Stratasys",,,
2022,May,6K,U.S.,102,Series D,Koch Strategic Platforms,,,
2022,May,KLOwen,U.S.,10.5,Series A,Columbia Pacific Advisors,,,
2022,May,Launcher,U.S.,1.7,Grant,U.S. Space Force,,,
2022,Jun,Synteris,U.S.,2.7,Grant,ARPA E,,,
2022,Jun,Ampcera,U.S.,1.5,Grant,U.S. Department of Energy,,,
2022,Jul,VulcanForms,U.S.,355,Not specified,Eclipse Ventures,,,
2022,Jul,Simplifyber,U.S.,3.5,Seed,At One Ventures,,,
2022,Jul,Divergent,U.S.,80,Debt,,,,
2022,Jul,polySpectra & Fortify,U.S.,3,Grant,Energy,,,
2022,Aug,Nubury,U.S.,,Grant,AFWERX SBIR,,,
2022,Sep,Hybrid Manufacturing,U.S.,,Not specified,,,,
2022,Sep,Optisks,U.S.,,Not specified,Nikon,,,
2022,Sep,Concurrent Technologies,U.S.,5.2,Grant,U.S. Air Force Research Laboratory,,,
2022,Sep,Firehawk Aerospace,U.S.,18,Series B,Capital Factory,,,
2022,Nov,Axtra 3D,U.S.,6.3,Series A,HZG Ventures,,,
2022,Nov,Vitro 3D,U.S.,1.3,Seed,Buff Gold Ventures,,,
2022,Nov,AMFG,U.S.,8.5,Not specified,Intel Capital,,,
2022,Nov,Rosotics,U.S.,0.8,Pre seed,Draper Associates,,,
2022,Nov,ICON,U.S.,57.2,Grant,SBIR Phase III,,,
2022,Dec,Fortius Metals,U.S.,2,Seed,AM Ventures,,,
2022,Dec,Additive Assurance,U.S.,4.1,Not specified,Significant Capital Ventures,,,
2022,Dec,Fortify,U.S.,,Late Stage VC,Lockheed Martin Ventures,,,
2022,Dec,Continuum,U.S.,36,Not specified,Ara Partners,,,
2023,Feb,Dimension Inx,U.S.,12,Series A,Prime Movers Lab,,,
2023,Feb,Freeform,U.S.,41,Series A,Founders Fund,,,
2023,Feb,Fabric8Labs,U.S.,50,Series B,NEA,,,
2023,Feb,Zellerfeld Shoe,U.S.,15,Seed,Founders Fund,,,
2023,Jan,Taulman 3D,U.S.,,Acquisition,Braskem,,,
2023,Jan,Dinsmore,U.S.,,Acquisition,ADDMAN Engineering,,,
2023,Feb,Dimension Inx,U.S.,12,Series A,Prime Movers Lab,,,
2023,Feb,Freeform,U.S.,45,Series A,Founders Fund,,,
2023,Feb,Fabric8Labs,U.S.,50,Series B extension,NEA,,,
2023,Feb,Brinter,U.S.,0.8,Seed,,,,
2023,Feb,Zellerfeld Shoe,U.S.,15,Seed,Founders Fund,,,
2023,Mar,Zeda,U.S.,52,Series B,Boutlque Venture Partners,,,
2023,May,Hllos Castor,U.S.,3,,Industry Angels,,,
2023,May,Alloy Enterprises,U.S.,26,Series A,Piva Capltal,,,
2023,Jun,Fortify,U.S.,12.5,,Lockheed Martin Ventures,,,
2023,Jun,LIMBER Prosthetlcs,U.S.,0.4,Seed,,,,
2023,Jun,Aglle,U.S.,13,Seed,Caruso Ventures,,,
2023,Aug,Lightforce Orthodontics,U.S.,80,Series D,Ally Bridge Group,,,
2023,Aug,Chromatic 3D,U.S.,3.1,Seed,,,,
2023,Aug,Elementum,U.S.,2.8,Grant,OSD(R&E),,,
2023,Sep,Kind Designs,U.S.,5,Seed,GOVO Venture Partners,,,
2023,Sep,Mighty Bulldings,U.S.,52,,Waed Ventures,,,
2023,Sep,Orbltal Composites,U.S.,2,Grant,SBIR,,,
2023,Sep,Branch Technology,U.S.,,Series B,TOKYU CONST GB Innovation Fund L.P,,,
2023,Oct,Additive Space Technologles,U.S.,0.1,Pre seed,ShockVentures,,,
2023,Oct,Azul 3D,U.S.,15,Series A,DuPont,,,
2023,Oct,Seurat Technologles,U.S.,99,Series C,Nventures,,,
2023,Nov,Divergent,U.S.,230,Series D,Hexagon AB,,,
2023,Dec,6K Additive,U.S.,23.4,Grant,MCEIP,,,
2023,Dec,Ursa Major,U.S.,138,Series D,Explorer 1 Fund,,,
2023,Dec,Mighty Bulldings,U.S.,5,Grant,Callfornla Energy,,,
2024,Jan,3DEO,U.S.,,,DBJ,,,
2024,Jan,Restor3d,U.S.,17,,,,,
2024,Feb,Fortlus Metals,U.S.,3,,,,,
2024,Feb,JuggerBot 3D,U.S.,4,Grant,OSD(R&E),,,
2022,Aug,Prellis Biologics,U.S.,,,Capital and Avidity Partners,,,
2023,Nov,Immensa,UAE,20,Series B,Global Ventures,,,
2019,Jan,Open Bionics,UK,5.9,Series A,Foresight Williams,,,
2019,Feb,Remedy Health,UK,£0.6,Seed,Innovate UK,,,
2019,Mar,Reliance Precision,UK,£2.3,Seed,Innovate UK,,,
2019,Jul,Axial 3D,UK,2.7, ,Imprimatur Capital Fund Mgmt.,,,
2019,Sep,Insphere,UK,£1.5, ,Foresight Williams Tech. EIS Fund,,,
2019,Sep,Wayland Additive,UK,£3.0, ,Longwall Ventures,,,
2019,Oct,AMT,UK,5.2,Series A,DSM Venturing,,,
2020,Jan,HiETA Tech.,UK, , ,Meggitt,,,
2020,Feb,WAAM3D,UK, ,Series A,Accuron Technologies,,,
2020,Mar,Axial 3D,UK, ,Grant,Eurostars,,,
2020,Jan,HiETA Technologies,UK, ,Not specified,Meggitt,,,
2020,Feb,WAAM3D,UK, ,Series A,Accuron Technologies,,,
